Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 8,Area Sample 8,#Peptides,#Unique,#Spec Sample 8,PTM,Avg. Mass,Description
1,53539,Pr55(Gag),507.04,77,77,2.3126E10,141,141,300,Carbamidomethylation; Oxidation (M),55930,Pr55(Gag)
4,12,A0A7E5VJT9,499.18,53,53,1.4646E6,120,1,128,Carbamidomethylation,328099,protein 4.1 homolog isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
3,9,A0A7E5VJS8,499.15,53,53,2.2071E5,120,1,128,Carbamidomethylation,327712,protein 4.1 homolog isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
3,10,A0A7E5VJS5,499.15,53,53,2.2071E5,120,1,128,Carbamidomethylation,328227,protein 4.1 homolog isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
6,4,A0A7E5VKP2,452.57,50,50,1.2236E8,94,94,98,Carbamidomethylation,276449,spectrin alpha chain isoform X4 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
6,5,A0A7E5VKL6,452.57,49,49,1.2236E8,94,94,98,Carbamidomethylation,279169,spectrin alpha chain isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
6,6,A0A7E5VKJ4,452.57,50,50,1.2236E8,94,94,98,Carbamidomethylation,277410,spectrin alpha chain isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
6,7,A0A7E5VKL0,452.57,49,49,1.2236E8,94,94,98,Carbamidomethylation,278208,spectrin alpha chain isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
2,53540,P03452,439.62,66,66,7.1761E9,93,93,171,Carbamidomethylation; Oxidation (M),63353,Hemagglutinin OS=Influenza A virus (strain A/Puerto Rico/8/1934 H1N1) OX=211044 GN=HA PE=1 SV=2
5,22,A0A7E5WZP3,425.38,33,33,1.0538E8,109,109,112,Carbamidomethylation,471182,spectrin beta chain  non-erythrocytic 1 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113507246 PE=3 SV=1
9,32,A0A7E5W0P0,406.36,35,35,9.1324E7,62,62,67,Carbamidomethylation,256130,fatty acid synthase isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113498344 PE=4 SV=1
16,35,A0A7E5W6G7,406.34,73,73,4.0806E8,44,44,47,Carbamidomethylation,66724,transketolase-like protein 2 OS=Trichoplusia ni OX=7111 GN=LOC113499721 PE=4 SV=1
12,55,A9XXA7,399.86,65,65,1.2674E9,48,48,56,Carbamidomethylation; Oxidation (M),50363,Elongation factor 1-alpha OS=Trichoplusia ni OX=7111 GN=LOC113501794 PE=2 SV=1
11,2,A0A7E5WSW3,394.15,69,69,3.6396E8,56,56,57,Carbamidomethylation,94606,translation elongation factor 2-like OS=Trichoplusia ni OX=7111 GN=LOC113505410 PE=3 SV=1
10,44,A0A7E5W4D4,393.14,79,79,9.175E8,38,38,62,Carbamidomethylation,46854,2-phospho-D-glycerate hydro-lyase OS=Trichoplusia ni OX=7111 GN=LOC113499004 PE=3 SV=1
17,36,A0A7E5VWF1,390.52,42,42,9.9632E7,46,32,46,Carbamidomethylation,169011,multidrug resistance-associated protein 1 OS=Trichoplusia ni OX=7111 GN=LOC113497341 PE=3 SV=1
14,1,A0A7E5WY23,382.04,62,62,7.3686E8,43,38,52,Carbamidomethylation,71637,Heat shock protein 70 OS=Trichoplusia ni OX=7111 GN=LOC113506423 PE=2 SV=1
8,103,A0A7E5W6Y6,382.04,29,29,4.6816E7,67,67,69,Carbamidomethylation,324715,talin-1 isoform X5 OS=Trichoplusia ni OX=7111 GN=LOC113499982 PE=4 SV=1
8,104,A0A7E5W6Z0,382.04,25,25,4.6816E7,67,67,69,Carbamidomethylation,392746,talin-1 isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113499982 PE=4 SV=1
8,105,A0A7E5W6Y1,382.04,25,25,4.6816E7,67,67,69,Carbamidomethylation,394014,talin-1 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113499982 PE=4 SV=1
13,45,A0A7E5VAS2,377.23,36,36,7.1984E7,53,53,54,Carbamidomethylation,225303,myosin heavy chain  non-muscle isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113492215 PE=3 SV=1
20,14,A0A7E5VSK5,369.10,55,55,5.4469E8,39,39,43,Carbamidomethylation,83201,Heat shock protein 83 OS=Trichoplusia ni OX=7111 GN=LOC113496266 PE=3 SV=1
37,3,A0A7E5VKR1,365.61,78,78,2.3686E8,29,29,34,Carbamidomethylation,55154,Vacuolar proton pump subunit B OS=Trichoplusia ni OX=7111 GN=LOC113494681 PE=3 SV=1
30,27,A0A2H4WW89,365.51,80,80,4.572E8,33,33,38,Carbamidomethylation,49937,Tubulin alpha chain OS=Trichoplusia ni OX=7111 GN=LOC113498276 PE=2 SV=1
18,53,A0A7E5VJV7,364.94,76,76,1.0663E7,36,5,45,Carbamidomethylation; Oxidation (M),50214,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113494444 PE=3 SV=1
36,100,A0A7E5VDK5,361.98,42,42,1.5424E7,32,12,34,Carbamidomethylation,123382,LOW QUALITY PROTEIN: importin-5-like OS=Trichoplusia ni OX=7111 GN=LOC113492859 PE=4 SV=1
22,38,A0A7E5VRS4,359.14,70,70,3.1828E8,40,40,42,Carbamidomethylation,68092,H(+)-transporting two-sector ATPase OS=Trichoplusia ni OX=7111 GN=LOC113496116 PE=3 SV=1
34,388,A0A7E5VJE9,357.83,69,69,2.8613E8,31,31,35,Carbamidomethylation,61694,Glucose-6-phosphate isomerase OS=Trichoplusia ni OX=7111 GN=LOC113494316 PE=3 SV=1
23,54,A0A7E5VK44,355.85,75,75,2.9229E5,32,1,41,Carbamidomethylation; Oxidation (M),50419,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113494443 PE=3 SV=1
7,397,A0A7E5WAQ5,353.09,76,76,4.2568E9,39,36,80,Carbamidomethylation; Oxidation (M),17757,Peptidyl-prolyl cis-trans isomerase OS=Trichoplusia ni OX=7111 GN=LOC113500627 PE=3 SV=1
19,75,A0A7E5VAA8,345.87,51,51,1.3192E8,43,43,44,Carbamidomethylation,121006,lethal(2) giant larvae protein isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113492109 PE=3 SV=1
19,76,A0A7E5VAA9,345.87,51,51,1.3192E8,43,43,44,Carbamidomethylation,121422,lethal(2) giant larvae protein isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113492109 PE=3 SV=1
33,29,A0A7E5WMD6,344.72,67,67,7.8954E8,34,34,35,Carbamidomethylation; Oxidation (M),51395,synaptic vesicle membrane protein VAT-1 homolog-like isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113503902 PE=3 SV=1
43,159479,P08161.2,340.40,55,55,8.6833E7,32,32,32,Carbamidomethylation,94540,RecName: Full=Early 94 kDa protein
28,42,A0A7E5VGG8,339.11,35,35,6.6938E7,39,37,39,Carbamidomethylation,155126,multidrug resistance-associated protein 4-like OS=Trichoplusia ni OX=7111 GN=LOC113493562 PE=4 SV=1
15,70,A0A7E5WZF7,336.82,20,20,3.4803E7,46,46,48,Carbamidomethylation,326780,papilin-like isoform X6 OS=Trichoplusia ni OX=7111 GN=LOC113507179 PE=4 SV=1
15,64,A0A7E5X039,336.82,20,20,3.4803E7,46,46,48,Carbamidomethylation,327492,papilin-like isoform X4 OS=Trichoplusia ni OX=7111 GN=LOC113507179 PE=4 SV=1
15,69,A0A7E5WY94,336.82,20,20,3.4803E7,46,46,48,Carbamidomethylation,327749,papilin-like isoform X5 OS=Trichoplusia ni OX=7111 GN=LOC113507179 PE=4 SV=1
15,67,A0A7E5WY90,336.82,20,20,3.4803E7,46,46,48,Carbamidomethylation,331573,papilin-like isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113507179 PE=4 SV=1
15,65,A0A7E5WZF1,336.82,20,20,3.4803E7,46,46,48,Carbamidomethylation,333759,papilin-like isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113507179 PE=4 SV=1
15,71,A0A7E5WY89,336.82,20,20,3.4803E7,46,46,48,Carbamidomethylation,333887,papilin-like isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113507179 PE=4 SV=1
44,159477,P41428.1,336.40,45,45,1.3181E8,29,29,32,Carbamidomethylation,79857,RecName: Full=Protein AC23; AltName: Full=ORF 9; Flags: Precursor
21,34,A0A451FUM5,332.18,60,60,5.9635E7,26,4,42,Carbamidomethylation; Oxidation (M),41822,Actin OS=Trichoplusia ni OX=7111 GN=LOC113507353 PE=2 SV=1
48,72,A0A7E5WBX9,331.74,53,53,9.9885E7,28,28,30,Carbamidomethylation,67635,Moesin/ezrin/radixin homolog 1 OS=Trichoplusia ni OX=7111 GN=LOC113501302 PE=4 SV=1
48,73,A0A7E5WC28,331.74,53,53,9.9885E7,28,28,30,Carbamidomethylation,67863,Moesin/ezrin/radixin homolog 1 OS=Trichoplusia ni OX=7111 GN=LOC113501302 PE=4 SV=1
48,74,A0A7E5WBV4,331.74,52,52,9.9885E7,28,28,30,Carbamidomethylation,69517,Moesin/ezrin/radixin homolog 1 OS=Trichoplusia ni OX=7111 GN=LOC113501302 PE=4 SV=1
51,98,A0A7E5WEQ8,331.59,40,40,5.28E7,29,29,29,Carbamidomethylation,117168,Ubiquitin-activating enzyme E1 OS=Trichoplusia ni OX=7111 GN=LOC113501820 PE=3 SV=1
83,268,A0A7E5VVM4,328.25,76,76,1.48E8,23,20,25,,34885,uncharacterized protein LOC113497167 isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113497167 PE=4 SV=1
27,62,A0A7E5WTZ2,327.85,44,44,6.3869E7,37,37,39,Carbamidomethylation,120036,ATP-citrate synthase OS=Trichoplusia ni OX=7111 GN=LOC113505697 PE=3 SV=1
26,159478,P17501.2,327.23,47,47,7.1666E8,29,29,39,Carbamidomethylation; Oxidation (M),58567,RecName: Full=Major envelope glycoprotein; AltName: Full=gp64; Flags: Precursor
56,158,A0A7E5WJN2,325.01,63,63,7.2391E7,28,28,29,Carbamidomethylation,59110,T-complex protein 1 subunit gamma OS=Trichoplusia ni OX=7111 GN=LOC113503333 PE=3 SV=1
41,39,A0A7E5W0E1,324.72,69,69,9.1367E7,32,32,33,Carbamidomethylation,59207,CCT-theta OS=Trichoplusia ni OX=7111 GN=LOC113498305 PE=3 SV=1
39,88,A0A7E5X348,323.41,48,48,6.8932E7,32,32,33,Carbamidomethylation,94012,97 kDa heat shock protein isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113508321 PE=3 SV=1
39,86,A0A7E5X3W7,323.41,50,50,6.8932E7,32,32,33,Carbamidomethylation,90950,97 kDa heat shock protein isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113508321 PE=3 SV=1
39,87,A0A7E5X1P0,323.41,49,49,6.8932E7,32,32,33,Carbamidomethylation,93211,97 kDa heat shock protein isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113508321 PE=3 SV=1
40,109,A0A7E5VGA4,322.28,30,30,2.7839E7,31,25,33,Carbamidomethylation,151739,probable multidrug resistance-associated protein lethal(2)03659 OS=Trichoplusia ni OX=7111 GN=LOC113493522 PE=4 SV=1
62,93,A0A7E5VT50,321.47,41,41,7.1049E7,27,27,27,Carbamidomethylation,68206,Polyadenylate-binding protein OS=Trichoplusia ni OX=7111 GN=LOC113496349 PE=3 SV=1
108,159480,Q00704.2,321.08,49,49,7.0462E7,20,20,22,Carbamidomethylation,79075,RecName: Full=Non-sulfated chondroitin lyase E66; Short=ODV-E66; Flags: Precursor
103,343,A0A7E5WXF7,319.96,40,40,3.2234E5,21,1,22,Carbamidomethylation,87528,LOW QUALITY PROTEIN: importin-5-like OS=Trichoplusia ni OX=7111 GN=LOC113506199 PE=4 SV=1
66,3566,A0A7E5VL02,318.59,41,41,3.9528E7,26,26,27,Carbamidomethylation,85488,Aconitate hydratase  mitochondrial OS=Trichoplusia ni OX=7111 GN=LOC113494725 PE=3 SV=1
113,270,A0A7E5VVN0,318.41,54,54,5.9603E7,21,21,21,Carbamidomethylation,56969,T-complex protein 1 subunit delta OS=Trichoplusia ni OX=7111 GN=LOC113497142 PE=3 SV=1
99,159482,P32651.2,318.28,55,55,9.6793E7,20,20,23,Carbamidomethylation,45382,RecName: Full=Structural glycoprotein gp41
35,154,A0A7E5X1G4,317.79,25,25,1.6203E7,32,32,34,Carbamidomethylation,200483,Non-specific serine/threonine protein kinase OS=Trichoplusia ni OX=7111 GN=LOC113507599 PE=3 SV=1
35,157,A0A7E5X0P4,317.79,25,25,1.6203E7,32,32,34,Carbamidomethylation,200939,Non-specific serine/threonine protein kinase OS=Trichoplusia ni OX=7111 GN=LOC113507599 PE=3 SV=1
53,58,A0A7E5VTZ8,317.25,50,50,1.0387E8,27,27,29,Carbamidomethylation,80438,protein hu-li tai shao isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113496708 PE=3 SV=1
53,59,A0A7E5VTZ6,317.25,45,45,1.0387E8,27,27,29,Carbamidomethylation,89312,protein hu-li tai shao isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113496708 PE=3 SV=1
42,169,A0A7E5VE36,316.95,53,53,,24,0,33,Carbamidomethylation; Oxidation (M),49568,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113492972 PE=3 SV=1
52,159484,P41700.1,315.74,60,60,1.3792E8,28,28,29,Carbamidomethylation,55417,RecName: Full=Protein AC142
25,25,A0A7E5VH70,315.06,30,30,3.1364E7,40,40,40,Carbamidomethylation,192369,Clathrin heavy chain OS=Trichoplusia ni OX=7111 GN=LOC113493842 PE=3 SV=1
25,26,A0A7E5VHF4,315.06,30,30,3.1364E7,40,40,40,Carbamidomethylation,192298,Clathrin heavy chain OS=Trichoplusia ni OX=7111 GN=LOC113493842 PE=3 SV=1
74,210,A0A7E5W5W9,314.29,69,69,1.1781E7,25,3,27,Carbamidomethylation; Oxidation (M),35793,Annexin OS=Trichoplusia ni OX=7111 GN=LOC113499683 PE=3 SV=1
38,49,A0A7E5VVP8,314.27,30,30,2.1259E8,33,33,34,Carbamidomethylation,145632,NPC intracellular cholesterol transporter 1 isoform X4 OS=Trichoplusia ni OX=7111 GN=LOC113497190 PE=3 SV=1
38,47,A0A7E5VWC1,314.27,30,30,2.1259E8,33,33,34,Carbamidomethylation,144927,NPC intracellular cholesterol transporter 1 isoform X6 OS=Trichoplusia ni OX=7111 GN=LOC113497190 PE=3 SV=1
38,50,A0A7E5VVQ3,314.27,30,30,2.1259E8,33,33,34,Carbamidomethylation,145590,NPC intracellular cholesterol transporter 1 isoform X5 OS=Trichoplusia ni OX=7111 GN=LOC113497190 PE=3 SV=1
38,51,A0A7E5VVQ8,314.27,30,30,2.1259E8,33,33,34,Carbamidomethylation,145869,NPC intracellular cholesterol transporter 1 isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113497190 PE=3 SV=1
38,48,A0A7E5VWB4,314.27,30,30,2.1259E8,33,33,34,Carbamidomethylation,147668,NPC intracellular cholesterol transporter 1 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113497190 PE=3 SV=1
29,115,A0A7E5WH50,314.27,42,42,6.4809E7,36,36,38,,111078,perilipin-4-like isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
101,60,A0A7E5WP28,311.84,51,51,6.2177E7,22,22,22,Carbamidomethylation,58958,CCT-epsilon OS=Trichoplusia ni OX=7111 GN=LOC113504153 PE=3 SV=1
55,235,A0A7E5VHI3,311.80,91,91,4.9246E8,27,27,29,Carbamidomethylation,26411,Triosephosphate isomerase OS=Trichoplusia ni OX=7111 GN=LOC113493924 PE=3 SV=1
