Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 14,Area Sample 14,#Peptides,#Unique,#Spec Sample 14,PTM,Avg. Mass,Description
1,53539,Pr55(Gag),346.20,75,75,8.0038E8,71,71,110,Carbamidomethylation; Oxidation (M),55930,Pr55(Gag)
2,53540,P03452,308.92,55,55,4.1181E8,52,52,69,Carbamidomethylation; Oxidation (M),63353,Hemagglutinin OS=Influenza A virus (strain A/Puerto Rico/8/1934 H1N1) OX=211044 GN=HA PE=1 SV=2
9,159487,P17499.1,282.90,60,60,1.8144E8,30,30,36,Carbamidomethylation; Oxidation (M),38951,RecName: Full=Major capsid protein
14,159477,P41428.1,272.05,44,44,5.1256E7,31,31,32,Carbamidomethylation,79857,RecName: Full=Protein AC23; AltName: Full=ORF 9; Flags: Precursor
21,34,A0A451FUM5,270.49,69,69,3.0796E6,27,2,27,Carbamidomethylation,41822,Actin OS=Trichoplusia ni OX=7111 GN=LOC113507353 PE=2 SV=1
4,5,A0A7E5VKL6,268.09,34,34,8.4887E6,65,65,65,Carbamidomethylation,279169,spectrin alpha chain isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
4,4,A0A7E5VKP2,268.09,34,34,8.4887E6,65,65,65,Carbamidomethylation,276449,spectrin alpha chain isoform X4 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
4,6,A0A7E5VKJ4,268.09,34,34,8.4887E6,65,65,65,Carbamidomethylation,277410,spectrin alpha chain isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
4,7,A0A7E5VKL0,268.09,34,34,8.4887E6,65,65,65,Carbamidomethylation,278208,spectrin alpha chain isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
6,159478,P17501.2,265.42,44,44,2.2373E8,27,27,54,Carbamidomethylation; Oxidation (M),58567,RecName: Full=Major envelope glycoprotein; AltName: Full=gp64; Flags: Precursor
20,159483,Q04719.2,262.99,58,58,2.6675E7,25,25,28,Carbamidomethylation,52636,RecName: Full=Early 53 kDa protein; AltName: Full=ME-53
16,14,A0A7E5VSK5,261.83,50,50,3.355E7,29,29,32,Carbamidomethylation,83201,Heat shock protein 83 OS=Trichoplusia ni OX=7111 GN=LOC113496266 PE=3 SV=1
3,13,A0A7E5VK20,255.61,32,32,1.1658E7,67,67,68,Carbamidomethylation,324668,protein 4.1 homolog isoform X4 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
3,9,A0A7E5VJS8,255.61,32,32,1.1658E7,67,67,68,Carbamidomethylation,327712,protein 4.1 homolog isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
3,10,A0A7E5VJS5,255.61,32,32,1.1658E7,67,67,68,Carbamidomethylation,328227,protein 4.1 homolog isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
3,12,A0A7E5VJT9,255.61,32,32,1.1658E7,67,67,68,Carbamidomethylation,328099,protein 4.1 homolog isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
17,2,A0A7E5WSW3,253.14,45,45,1.3202E7,31,31,32,Carbamidomethylation,94606,translation elongation factor 2-like OS=Trichoplusia ni OX=7111 GN=LOC113505410 PE=3 SV=1
7,53,A0A7E5VJV7,252.93,68,68,8.8975E6,32,6,47,Carbamidomethylation; Oxidation (M),50214,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113494444 PE=3 SV=1
19,27,A0A2H4WW89,251.76,65,65,4.3402E7,25,25,28,Carbamidomethylation,49937,Tubulin alpha chain OS=Trichoplusia ni OX=7111 GN=LOC113498276 PE=2 SV=1
22,37,G0ZL66,247.20,69,69,5.6113E5,26,1,26,Carbamidomethylation,41833,Actin OS=Trichoplusia ni OX=7111 GN=LOC113506179 PE=2 SV=1
31,31,A0A7E5WNE1,244.71,54,54,2.8487E7,21,21,22,Carbamidomethylation,49724,synaptic vesicle membrane protein VAT-1 homolog-like isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113503902 PE=3 SV=1
31,28,A0A7E5WM70,244.71,56,56,2.8487E7,21,21,22,Carbamidomethylation,48438,synaptic vesicle membrane protein VAT-1 homolog-like isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113503902 PE=3 SV=1
31,29,A0A7E5WMD6,244.71,52,52,2.8487E7,21,21,22,Carbamidomethylation,51395,synaptic vesicle membrane protein VAT-1 homolog-like isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113503902 PE=3 SV=1
27,159493,P41467.1,244.30,38,38,1.5979E7,22,22,24,,93973,RecName: Full=Protein Ac66
34,3,A0A7E5VKR1,243.63,63,63,4.3411E6,20,20,20,Carbamidomethylation,55154,Vacuolar proton pump subunit B OS=Trichoplusia ni OX=7111 GN=LOC113494681 PE=3 SV=1
28,55,A9XXA7,239.97,55,55,3.7134E7,22,22,24,Carbamidomethylation,50363,Elongation factor 1-alpha OS=Trichoplusia ni OX=7111 GN=LOC113501794 PE=2 SV=1
5,22,A0A7E5WZP3,239.40,16,16,5.4762E6,54,54,56,Carbamidomethylation,471182,spectrin beta chain  non-erythrocytic 1 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113507246 PE=3 SV=1
5,23,A0A7E5X0H7,239.40,16,16,5.4762E6,54,54,56,Carbamidomethylation,471110,spectrin beta chain  non-erythrocytic 1 isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113507246 PE=3 SV=1
5,24,A0A7E5X0D5,239.40,17,17,5.4762E6,54,54,56,Carbamidomethylation,458636,spectrin beta chain  non-erythrocytic 1 isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113507246 PE=3 SV=1
15,1,A0A7E5WY23,239.06,56,56,2.8353E7,28,25,32,Carbamidomethylation,71637,Heat shock protein 70 OS=Trichoplusia ni OX=7111 GN=LOC113506423 PE=2 SV=1
8,169,A0A7E5VE36,227.72,50,50,,25,0,39,Carbamidomethylation; Oxidation (M),49568,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113492972 PE=3 SV=1
