Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 11,Area Sample 11,#Peptides,#Unique,#Spec Sample 11,PTM,Avg. Mass,Description
1,53539,Pr55(Gag),401.15,77,77,3.6029E9,124,124,234,Carbamidomethylation; Oxidation (M),55930,Pr55(Gag)
2,4,A0A7E5VKP2,378.60,63,63,1.1097E8,134,134,142,Carbamidomethylation; Oxidation (M),276449,spectrin alpha chain isoform X4 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
2,5,A0A7E5VKL6,378.60,62,62,1.1097E8,134,134,142,Carbamidomethylation; Oxidation (M),279169,spectrin alpha chain isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
2,6,A0A7E5VKJ4,378.60,63,63,1.1097E8,134,134,142,Carbamidomethylation; Oxidation (M),277410,spectrin alpha chain isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
2,7,A0A7E5VKL0,378.60,62,62,1.1097E8,134,134,142,Carbamidomethylation; Oxidation (M),278208,spectrin alpha chain isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
6,12,A0A7E5VJT9,378.09,54,54,0,123,1,127,Carbamidomethylation,328099,protein 4.1 homolog isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
5,9,A0A7E5VJS8,378.02,54,54,3.9579E4,123,1,127,Carbamidomethylation,327712,protein 4.1 homolog isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
5,10,A0A7E5VJS5,378.02,54,54,3.9579E4,123,1,127,Carbamidomethylation,328227,protein 4.1 homolog isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
4,23,A0A7E5X0H7,349.19,38,38,3.7552E4,126,1,132,Carbamidomethylation,471110,spectrin beta chain  non-erythrocytic 1 isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113507246 PE=3 SV=1
3,22,A0A7E5WZP3,349.16,38,38,0,126,1,132,Carbamidomethylation,471182,spectrin beta chain  non-erythrocytic 1 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113507246 PE=3 SV=1
7,53540,P03452,330.95,56,56,9.9442E8,70,70,118,Carbamidomethylation; Oxidation (M),63353,Hemagglutinin OS=Influenza A virus (strain A/Puerto Rico/8/1934 H1N1) OX=211044 GN=HA PE=1 SV=2
8,15,A0A7E5VPW8,329.15,46,46,3.7317E7,78,78,80,Carbamidomethylation,265083,Spectrin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113495669 PE=3 SV=1
14,1,A0A7E5WY23,308.73,67,67,1.4986E8,43,43,56,Carbamidomethylation; Oxidation (M),71637,Heat shock protein 70 OS=Trichoplusia ni OX=7111 GN=LOC113506423 PE=2 SV=1
19,25,A0A7E5VH70,300.87,37,37,1.2206E7,47,47,47,Carbamidomethylation,192369,Clathrin heavy chain OS=Trichoplusia ni OX=7111 GN=LOC113493842 PE=3 SV=1
