Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 12,Area Sample 12,#Peptides,#Unique,#Spec Sample 12,PTM,Avg. Mass,Description
1,53539,Pr55(Gag),382.61,75,75,1.2319E9,83,83,149,Carbamidomethylation; Oxidation (M),55930,Pr55(Gag)
5,53540,P03452,326.56,49,49,4.078E8,52,52,67,Carbamidomethylation; Oxidation (M),63353,Hemagglutinin OS=Influenza A virus (strain A/Puerto Rico/8/1934 H1N1) OX=211044 GN=HA PE=1 SV=2
3,5,A0A7E5VKL6,307.70,40,40,1.8317E7,78,78,80,Carbamidomethylation,279169,spectrin alpha chain isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
3,4,A0A7E5VKP2,307.70,41,41,1.8317E7,78,78,80,Carbamidomethylation,276449,spectrin alpha chain isoform X4 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
3,6,A0A7E5VKJ4,307.70,40,40,1.8317E7,78,78,80,Carbamidomethylation,277410,spectrin alpha chain isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
3,7,A0A7E5VKL0,307.70,40,40,1.8317E7,78,78,80,Carbamidomethylation,278208,spectrin alpha chain isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
2,13,A0A7E5VK20,297.12,40,40,1.8218E7,82,82,84,Carbamidomethylation,324668,protein 4.1 homolog isoform X4 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
2,9,A0A7E5VJS8,297.12,39,39,1.8218E7,82,82,84,Carbamidomethylation,327712,protein 4.1 homolog isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
2,10,A0A7E5VJS5,297.12,39,39,1.8218E7,82,82,84,Carbamidomethylation,328227,protein 4.1 homolog isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
2,12,A0A7E5VJT9,297.12,39,39,1.8218E7,82,82,84,Carbamidomethylation,328099,protein 4.1 homolog isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
9,14,A0A7E5VSK5,279.63,52,52,2.4546E7,32,32,34,Carbamidomethylation,83201,Heat shock protein 83 OS=Trichoplusia ni OX=7111 GN=LOC113496266 PE=3 SV=1
4,22,A0A7E5WZP3,279.46,22,22,9.7244E6,77,77,78,Carbamidomethylation,471182,spectrin beta chain  non-erythrocytic 1 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113507246 PE=3 SV=1
4,23,A0A7E5X0H7,279.46,22,22,9.7244E6,77,77,78,Carbamidomethylation,471110,spectrin beta chain  non-erythrocytic 1 isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113507246 PE=3 SV=1
7,1,A0A7E5WY23,273.15,57,57,3.3988E7,32,30,36,Carbamidomethylation,71637,Heat shock protein 70 OS=Trichoplusia ni OX=7111 GN=LOC113506423 PE=2 SV=1
21,28,A0A7E5WM70,265.83,57,57,3.7849E7,24,24,25,Carbamidomethylation,48438,synaptic vesicle membrane protein VAT-1 homolog-like isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113503902 PE=3 SV=1
21,29,A0A7E5WMD6,265.83,54,54,3.7849E7,24,24,25,Carbamidomethylation,51395,synaptic vesicle membrane protein VAT-1 homolog-like isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113503902 PE=3 SV=1
21,31,A0A7E5WNE1,265.83,55,55,3.7849E7,24,24,25,Carbamidomethylation,49724,synaptic vesicle membrane protein VAT-1 homolog-like isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113503902 PE=3 SV=1
